ar fau'u
art-guaspi centero
art-guaspi cusku
art-guaspi djuno
art-guaspi enge
art-guaspi gunka
art-guaspi kernelo
art-guaspi klagi'a
art-guaspi mapti
art-guaspi melbi
art-guaspi mutce
art-guaspi nelci
art-guaspi prami
art-guaspi tavla
art-guaspi zilkai
art-guaspi zvati
art-loglan felonei
art-loglan filonei
art-loglan folonei
art-loglan rebla
be pamrkovni
cs bifce
cs do
cs do'o
cs jbobo
cs lojbo
cs ma'a
cs mi
cs mi'a
cs mi'o
cs ropno
cs serlaxi
cs slovo
cs tce'exo
de a'a
de a'i
de ai
de anste
de a'o
de atna
de a'u
de au
de aufklerunge
de babypalne
de bacru
de badna
de badnygrute
de badnyspa
de badri
de badvau
de bajra
de bakcmo
de bakfu
de bakni
de bakri
de baktu
de bakyjanbe
de balji
de balni
de balre
de balvi
de balzgibe'e
de bamrdinamite
de banbau
de bancu
de bandu
de bandu'e'u
de banfi
de bangu
de banli
de banro
de banxa
de banzu
de bapli
de barda
de bargu
de barja
de barna
de bartu
de basna
de basti
de batci
de batke
de bavmi
de baxso
de bebna
de bemro
de bende
de bengo
de benji
de bersa
de berti
de besna
de betfu
de betri
de bevri
de bi
de bidju
de bifce
de bi'i
de bikla
de bikydai
de bilga
de bilma
de bilni
de bilske
de bimkemnipyple
de bimple
de bindo
de binra
de binxo
de birje
de birjybarja
de birka
de birti
de birtu'ucaucreka
de bisli
de bitmu
de blabi
de blaci
de blacybo'i
de blacykabri
de blanu
de bliku
de blikubli
de bloti
de bo
de bogjimro'i
de bogypu'o
de bolci
de bolrbasketo
de bolrbeiso
de bolrbliiardo
de bolrbolingo
de bolrgolfo
de bolrkriketi
de bolrkroke
de bolrvolei
de bongu
de botpi
de botrportcelanu
de boxfo
de boxna
de bradi
de bratu
de bratybakfu
de bratycarvi
de brazo
de bredi
de bridi
de brife
de briju
de brirei
de brito
de broda
de brode
de brodi
de brodo
de brodu
de bruna
de bu
de bu'a
de budjo
de bukmu'a
de bukpu
de bumru
de bunda
de bunre
de burcu
de burna
de ca'a
de ca'arcadgau
de ca'arcando
de cabna
de cabra
de cacra
de cadnfroide
de cadzu
de cafne
de cakla
de calku
de canci
de candakli
de cando
de cange
de canja
de canko
de canlu
de canlu bu
de canpa
de canre
de canro'i
de canti
de ca'orgreku
de carce
de carmi
de carna
de cartu
de carvi
de casnu
de catke
de catlu
de catni
de catra
de caxno
de ce
de cecla
de cecmu
de cedra
de ce'i
de ceikri
de cekrti
de cenba
de censa
de centi
de ce'o
de cerda
de cermurse
de cerni
de certu
de cevni
de cfari
de cfika
de cfila
de cfine
de cfinytci
de cfipu
de ci
de ciblu
de cibmoixandegji
de cicna
de cicnybla
de cicnykunra
de cicnyri'o
de cidja
de cidjrburito
de cidjrtako
de cidjrtcilekonkarne
de cidjrxonido
de cidni
de cidro
de cifnu
de cigla
de cikna
de cikre
de ciksi
de cilce
de cilmo
de cilre
de cilta
de cimcitsi
de cimde
de cimni
de cimnyselcmi
de cinba
de cindu
de cinfo
de cinje
de cinki
de cinla
de cinmo
de cinri
de cinse
de cinta
de cinza
de cipni
de cipra
de cirko
de cirla
de cirlrlimburge
de cirlydakfu
de ciska
de cisma
de ciste
de citka
de citno
de citri
de citsi
de civla
de cizra
de cizrkafka
de ckabo'o
de ckabu
de ckabu'u
de ckabycupsri
de ckafi
de ckaji
de ckana
de ckape
de ckasu
de ckeji
de ckiku
de ckilu
de ckini
de ckire
de ckukajna
de ckule
de ckunu
de cladu
de clagaldi'u
de clani
de claxu
de clika
de clira
de clite
de cliva
de clupa
de cmaci
de cmalu
de cmana
de cmavnra'o
de cmavnroi
de cmavo
de cmavrba'e
de cmavrbai
de cmavrbe
de cmavrbei
de cmavrbe'o
